PairIndex,Response,Drug1,Drug2,Conc1,Conc2,ConcUnit
1,53.14184360613593,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,63.667892655271366,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,35.75805419344059,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,36.60459881975016,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,16.06689773990197,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,26.94678692711526,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,29.842612419754012,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,30.298791993037888,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,34.22179697657513,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,9.234420665826352,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,8.34395503027282,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.284533090311788,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,2.6624857519251153,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,0.0,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,82.49470428091999,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,90.9950542136559,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,60.36532887187169,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,51.97267116360142,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,48.72462677819249,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,67.27710627944651,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,72.23851888254191,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,82.11940609027832,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,71.33028654221185,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,59.524378211809626,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,26.250656348936477,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,48.11182954869973,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,68.16436962054938,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,66.83220173034775,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,26.931994738523024,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,17.630508446813664,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,24.338437704712575,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,32.4314330054962,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,32.670566688376496,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,13.563902665054286,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,5.414766720972242,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,8.355712408433764,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.877194721057794,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,0.233496505755781,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,1.5634984926187028,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,71.47204501622073,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,79.34111418308439,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,61.73105386019764,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,68.24569986036354,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,32.47458358825099,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,66.05829157356578,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,81.94046616396561,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,56.13659855934601,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,40.606019821164246,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,43.334481882910275,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,19.05845709802215,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,51.044447930717354,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,67.16536094171173,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,32.51061944986222,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,28.90330844414732,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,15.156990559378032,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,22.326773749137644,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,27.793244461734748,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,33.90385871289301,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,13.39975492733379,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,6.430959260198968,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,6.82356859908444,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,1.9646749740638434,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,0.26447368004546296,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
1,0.0,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.0,nM
1,58.59810449291121,hsa-miR-124-3p,hsa-miR-363-3p,5.0,5.0,nM
1,63.76292308787138,hsa-miR-124-3p,hsa-miR-363-3p,5.0,2.5,nM
1,62.308578955207544,hsa-miR-124-3p,hsa-miR-363-3p,5.0,1.0,nM
1,78.04559179632456,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.5,nM
1,26.047692514882918,hsa-miR-124-3p,hsa-miR-363-3p,5.0,0.0,nM
1,63.84403224877995,hsa-miR-124-3p,hsa-miR-363-3p,2.5,5.0,nM
1,81.6335014532337,hsa-miR-124-3p,hsa-miR-363-3p,2.5,2.5,nM
1,60.12317377728166,hsa-miR-124-3p,hsa-miR-363-3p,2.5,1.0,nM
1,71.26416385135799,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.5,nM
1,39.52730884718086,hsa-miR-124-3p,hsa-miR-363-3p,2.5,0.0,nM
1,32.05681145029286,hsa-miR-124-3p,hsa-miR-363-3p,1.0,5.0,nM
1,42.395633463836326,hsa-miR-124-3p,hsa-miR-363-3p,1.0,2.5,nM
1,49.29840693052892,hsa-miR-124-3p,hsa-miR-363-3p,1.0,1.0,nM
1,51.492380590886626,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.5,nM
1,27.17515473722938,hsa-miR-124-3p,hsa-miR-363-3p,1.0,0.0,nM
1,23.34110386606879,hsa-miR-124-3p,hsa-miR-363-3p,0.5,5.0,nM
1,10.086666448155848,hsa-miR-124-3p,hsa-miR-363-3p,0.5,2.5,nM
1,25.64797515421468,hsa-miR-124-3p,hsa-miR-363-3p,0.5,1.0,nM
1,15.272413846178553,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.5,nM
1,12.899801730743008,hsa-miR-124-3p,hsa-miR-363-3p,0.5,0.0,nM
1,4.488482283096596,hsa-miR-124-3p,hsa-miR-363-3p,0.0,5.0,nM
1,4.35087004347165,hsa-miR-124-3p,hsa-miR-363-3p,0.0,2.5,nM
1,0.17733040488642002,hsa-miR-124-3p,hsa-miR-363-3p,0.0,1.0,nM
1,3.574521319367422,hsa-miR-124-3p,hsa-miR-363-3p,0.0,0.5,nM
