label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-137,hsa-miR-200a-3p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1314,905,2048,76,54,121,9,0.14901960784313725,0.10588235294117647,0.2372549019607843,0.08823529411764705,0.9256198347107438
synergy,hsa-miR-137,hsa-miR-200a-3p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1314,905,2048,61,41,95,7,0.1431924882629108,0.09624413145539906,0.22300469483568075,0.07981220657276994,0.9263157894736842
synergy,hsa-miR-137,hsa-miR-200a-3p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1314,905,2048,22,11,31,2,0.09865470852017937,0.04932735426008968,0.13901345291479822,0.04035874439461885,0.935483870967742
synergy,hsa-miR-137,hsa-miR-200a-3p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1314,905,2048,12,10,22,0,0.06282722513089005,0.05235602094240838,0.11518324607329843,0.05235602094240838,1.0
synergy,hsa-miR-137,hsa-miR-200a-3p,UPR / ER stress (liability),UPR/ER stress (control),control,89,1314,905,2048,9,9,16,2,0.10112359550561797,0.10112359550561797,0.1797752808988764,0.07865168539325842,0.875
synergy,hsa-miR-137,hsa-miR-200a-3p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1314,905,2048,22,15,36,1,0.06060606060606061,0.04132231404958678,0.09917355371900827,0.03856749311294766,0.9722222222222222
synergy,hsa-miR-137,hsa-miR-200a-3p,EMT (alternate morphology),EMT (control),control,175,1314,905,2048,15,7,22,0,0.08571428571428572,0.04,0.12571428571428572,0.04000000000000001,1.0
synergy,hsa-miR-137,hsa-miR-200a-3p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1314,905,2048,89,82,156,15,0.09165808444902163,0.08444902162718847,0.16065911431513905,0.06900102986611742,0.9038461538461539
