label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1338,755,1946,79,45,116,8,0.15490196078431373,0.08823529411764706,0.22745098039215686,0.07254901960784313,0.9310344827586207
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1338,755,1946,53,48,95,6,0.12441314553990611,0.11267605633802817,0.22300469483568075,0.09859154929577464,0.9368421052631579
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1338,755,1946,22,13,30,5,0.09865470852017937,0.05829596412556054,0.13452914798206278,0.035874439461883414,0.8333333333333334
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1338,755,1946,12,5,16,1,0.06282722513089005,0.02617801047120419,0.08376963350785341,0.02094240837696336,0.9375
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,UPR / ER stress (liability),UPR/ER stress (control),control,89,1338,755,1946,5,5,9,1,0.056179775280898875,0.056179775280898875,0.10112359550561797,0.0449438202247191,0.8888888888888888
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1338,755,1946,39,20,54,5,0.10743801652892562,0.05509641873278237,0.1487603305785124,0.04132231404958678,0.9074074074074074
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,EMT (alternate morphology),EMT (control),control,175,1338,755,1946,24,7,30,1,0.13714285714285715,0.04,0.17142857142857143,0.03428571428571428,0.9666666666666667
synergy,hsa-miR-19b-3p,hsa-miR-449b-5p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1338,755,1946,133,72,189,16,0.13697219361483007,0.07415036045314109,0.19464469618949537,0.0576725025746653,0.9153439153439153
