,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-93-5p,0.27183098,0.46048588,0.045399603,-0.02415487,-0.0430374,-0.0022191664,0.0061727194,-0.020205982,0.001842288,0.031907488,0.0,0.04197273,-0.00607634,0.11573932,0.12155437,0.068767875,0.11627709,-0.034849647,-0.18711647,-0.12332661,-0.06265481,-0.15719594,-0.018853597,0.010188022,0.01967761,0.08036226,0.29834834,-0.16346312,-0.066449255,-0.2552756,-0.031586565,-0.033477873,0.12757173,0.026661875,-0.024772553,-0.07112899,-0.0052726883,0.048023015,0.024547376,0.027723756,-0.17164943,-0.016801668,-0.7518497,-0.081848264
hsa-miR-27a-3p,-0.0068982504,0.4170253,-0.13766757,-0.024697203,-0.046803214,-0.024073713,-0.0032536946,-0.024617739,-0.038117617,-0.060332462,0.04197273,0.0,0.003434619,0.25610936,0.038693666,-0.004480447,0.040718783,-0.045845833,-0.042913407,-3.6159177e-05,0.011801106,-0.16766083,-0.03332192,-0.03378372,-0.061146926,0.17552836,0.13504414,-0.0067478325,0.20601217,-0.21912096,-0.04925143,-0.029766971,0.0047706645,0.15347233,0.05098551,-0.058625232,-0.06945641,-0.03173408,-0.04740734,-0.058489855,-0.0918691,-0.0023889446,-0.29251283,0.07870675
hsa-miR-27b-3p,0.011804483,0.12911038,-0.091604866,-0.017430829,-0.05487971,-0.036853723,-0.07413487,-0.030852934,-0.039892666,-0.009493625,-0.00607634,0.003434619,0.0,0.4266395,-0.01649935,-0.009360775,0.06467768,-0.027682938,-0.17561415,-0.08621069,-0.0049808896,0.04263487,-0.04217939,-0.034364175,-0.05354611,0.13048038,0.03588638,-0.024473011,0.26691946,-0.19276302,-0.082276344,-0.034953043,0.036753614,0.103599206,0.033212278,-0.06761885,-0.11218343,-0.06245229,-0.04822336,-0.04446583,-0.10868014,0.034366205,-0.5293303,-0.008329149
hsa-miR-137,0.015837742,0.12143014,-0.16626488,0.18685456,0.35530296,0.22990717,0.257054,0.35281897,0.30828634,0.05833158,0.11573932,0.25610936,0.4266395,0.0,-0.13395211,-0.13132855,-0.09943219,0.3035061,0.23726232,0.2578745,0.4982489,0.051365852,0.57592,0.4420656,0.2013201,-0.10111817,0.7565379,0.42350477,0.84994286,0.29274887,0.29160252,0.18635334,0.06698849,0.16961482,0.14929625,0.0075388267,-0.13746741,0.059441086,0.09858136,0.24052724,0.29259714,-0.16938551,-0.5310874,0.50282615
hsa-miR-429,-0.04633278,-0.46130314,-0.72144085,-0.017813196,0.013470035,-0.055486944,0.06614021,0.011679273,0.08339071,0.111708246,0.12155437,0.038693666,-0.01649935,-0.13395211,0.0,-0.092582814,-0.005183796,-0.05619931,-0.09798362,-0.017068071,0.020778239,-0.41303998,-0.00024131213,-0.04699255,0.044790957,-0.0061196904,-0.14519481,-0.2028422,-0.06308083,-0.093219936,-0.049116686,-0.10697557,0.22574805,-0.4347208,-0.020882282,-0.016166935,0.10717993,0.020092184,-0.0078038597,0.061495386,0.04537642,-0.07025805,-0.5193236,0.13761318
hsa-miR-200b-3p,-0.10782961,-0.4942494,-0.93146807,-0.008398423,-0.03749411,-0.040253647,0.11276547,0.05770615,-0.027129792,0.111306675,0.068767875,-0.004480447,-0.009360775,-0.13132855,-0.092582814,0.0,-0.06564263,-0.11640185,-0.16307132,-0.11624834,-0.027308047,-0.41296986,-0.0025208623,-0.035902493,-0.029498335,-0.15436387,-0.19125985,-0.13136886,-0.2005406,0.004674589,-0.13288571,-0.061621033,0.013229589,-0.440535,-0.050478615,-0.09309828,0.01039504,-0.056432158,-0.018349502,0.008537245,-0.09168614,-0.14193758,-0.6715182,-0.030783793
hsa-miR-200c-3p,-0.02052822,-0.49452558,-0.900085,-0.0112417275,-0.032702703,0.030675443,0.11657061,0.08969615,-0.02583322,0.19341189,0.11627709,0.040718783,0.06467768,-0.09943219,-0.005183796,-0.06564263,0.0,-0.10421003,-0.15349182,-0.013375737,-0.019142896,-0.3625458,0.03646048,-0.033699635,-0.001762088,-0.11447645,-0.141799,-0.2036436,-0.18527997,-0.005881959,-0.13273303,-0.0575156,0.07993861,-0.48474604,-0.022560015,-0.0064431955,0.007443003,-0.045352813,0.0008714012,0.015607807,-0.11893147,-0.12787537,-0.6200565,-0.030020673
hsa-miR-92a-3p,-0.08590907,-0.48540333,-0.39658225,-0.021359395,-0.033943575,0.0064359605,0.042040955,-0.013348004,-0.006027177,-0.0829363,-0.034849647,-0.045845833,-0.027682938,0.3035061,-0.05619931,-0.11640185,-0.10421003,0.0,-0.21707083,-0.11957371,-0.0015180716,-0.3538251,-0.055374213,-0.05224597,-0.00094018836,0.007749454,0.31805596,-0.17500779,0.11604039,-0.23768573,-0.14278068,-0.023688732,0.4778265,-0.235575,-0.033349562,-0.19704957,-0.15923521,0.10359501,-0.0073260246,0.011542198,-0.1271818,0.030114513,-0.8061485,-0.31004313
hsa-miR-25-3p,-0.06568236,0.42727128,0.091980346,-0.32029206,-0.32889536,-0.1815613,-0.24402656,-0.22997814,-0.12519051,-0.24535073,-0.18711647,-0.042913407,-0.17561415,0.23726232,-0.09798362,-0.16307132,-0.15349182,-0.21707083,0.0,-0.059172176,-0.2831999,-0.32572064,-0.14617367,-0.2818377,-0.09753055,-0.13079466,-0.24836114,-0.05517438,-0.05904802,0.017673396,-0.051983234,-0.28599536,-0.056377973,-0.21811588,-0.24828048,-0.12696572,-0.05150514,-0.21009451,-0.12697731,-0.1149555,-0.12011084,-0.28498915,-0.35624596,-0.07022616
hsa-miR-363-3p,-0.028191937,0.5076357,0.19280359,-0.16572048,-0.16823365,-0.09267542,-0.11534708,-0.12861244,-0.110891335,-0.13446485,-0.12332661,-3.6159177e-05,-0.08621069,0.2578745,-0.017068071,-0.11624834,-0.013375737,-0.11957371,-0.059172176,0.0,-0.0644944,-0.31102,-0.12027962,-0.066874705,-0.059124406,-0.012775661,-0.053403396,0.04326022,0.18212381,-0.00013474285,0.3298167,-0.10031393,-0.06137035,-0.23266265,-0.1393773,-0.06420648,-0.118314296,-0.06728264,-0.08345192,-0.10525811,-0.030737199,-0.10952149,-0.33189467,0.081629544
