,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-107,-0.03807847,0.08360903,-0.20332538,-0.08378223,-0.18701307,-0.20307842,-0.1820371,-0.20800492,0.029894833,-0.05519424,-0.031586565,-0.04925143,-0.082276344,0.29160252,-0.049116686,-0.13288571,-0.13273303,-0.14278068,-0.051983234,0.3298167,-0.24188225,-0.047510147,0.10666836,-0.28524166,-0.111616276,-0.16749384,-0.29083484,-0.110360645,-0.264143,-0.04335544,0.0,-0.27474532,0.0025431241,-0.17752574,-0.085335866,-0.04510857,-0.1231871,-0.059601706,-0.061628114,-0.029923229,0.06432791,-0.21028447,-0.47501227,-0.059057556
hsa-miR-452-5p,-0.07535873,-0.59430236,-0.6978063,-0.016851803,0.01980257,0.011522394,-0.0022969604,-0.0043350956,-0.009772517,-0.034449983,-0.033477873,-0.029766971,-0.034953043,0.18635334,-0.10697557,-0.061621033,-0.0575156,-0.023688732,-0.28599536,-0.10031393,-0.05739963,-0.26322997,-0.009944437,-0.07769467,-0.11013058,-0.065383054,0.2090879,-0.32737657,-0.09208884,-0.29053003,-0.27474532,0.0,0.23020369,-0.1979867,0.014363475,-0.2833454,-0.22774346,0.036127515,0.03590297,0.020027276,-0.14185618,0.012858385,-0.8322269,-0.42140263
hsa-miR-2110,-0.02293576,-0.30688223,-0.5729616,0.39119664,0.32790667,0.45703197,0.31219202,0.25312293,0.18691197,0.31094924,0.12757173,0.0047706645,0.036753614,0.06698849,0.22574805,0.013229589,0.07993861,0.4778265,-0.056377973,-0.06137035,0.0861414,-0.24016914,0.1350265,0.23746966,0.05525504,-0.061295513,0.15244801,-0.11929143,-0.11764264,-0.109947726,0.0025431241,0.23020369,0.0,-0.021603433,0.14437237,-0.10248524,-0.09370674,0.052621637,0.014212141,0.03605499,-0.049763728,-0.02894935,-0.7461979,-0.039983384
hsa-miR-34b-5p,0.15634458,0.5320249,0.16058536,0.5562328,0.43246117,-0.0633257,0.022772951,-0.06432312,0.19675459,-0.0110981045,0.026661875,0.15347233,0.103599206,0.16961482,-0.4347208,-0.440535,-0.48474604,-0.235575,-0.21811588,-0.23266265,-0.030581094,0.16587254,0.13157776,-0.19235662,0.19227178,-0.03647965,-0.10146157,0.08644854,-0.020108776,-0.010337268,-0.17752574,-0.1979867,-0.021603433,0.0,0.092735015,-0.10025479,-0.08016994,-0.034937754,0.061077572,0.100625314,0.012815603,-0.26343918,-0.012811567,-0.11790337
hsa-miR-143-5p,-0.046179455,0.69719005,0.28501877,-0.02456494,-0.03220834,-0.0028107564,0.0003303108,-0.024723414,0.016019871,0.012435926,-0.024772553,0.05098551,0.033212278,0.14929625,-0.020882282,-0.050478615,-0.022560015,-0.033349562,-0.24828048,-0.1393773,-0.021856125,-0.08592221,-0.022174498,-0.0027285714,-0.056935687,0.1763018,0.16175586,-0.09431242,0.012060597,-0.14197712,-0.085335866,0.014363475,0.14437237,0.092735015,0.0,-0.12929945,-0.14730419,0.010029136,-0.018693615,0.012083221,-0.16722621,0.02650814,-0.44591042,-0.15390061
hsa-miR-18a-5p,-0.099786066,-0.116931476,-0.42732233,-0.14231254,-0.17903674,-0.15899141,-0.06492929,-0.068132944,-0.04405973,-0.016038539,-0.07112899,-0.058625232,-0.06761885,0.0075388267,-0.016166935,-0.09309828,-0.0064431955,-0.19704957,-0.12696572,-0.06420648,-0.121677145,-0.361329,-0.09571647,-0.17487453,-0.14312343,-0.1719168,0.06395439,-0.008961836,-0.0830663,-0.005896129,-0.04510857,-0.2833454,-0.10248524,-0.10025479,-0.12929945,0.0,-0.0036390652,-0.2268705,-0.056337643,-0.09712381,0.01765543,-0.22529064,-0.53994864,0.036881365
hsa-miR-18b-5p,-0.06356668,-0.02826025,-0.24353328,-0.23655,-0.2595474,-0.18399863,-0.18086664,-0.1317747,-0.011221933,-0.099075675,-0.0052726883,-0.06945641,-0.11218343,-0.13746741,0.10717993,0.01039504,0.007443003,-0.15923521,-0.05150514,-0.118314296,-0.107217595,-0.327738,-0.15031196,-0.20631622,-0.16872483,-0.12451086,-0.19057523,-0.11892208,-0.13804743,-0.034486625,-0.1231871,-0.22774346,-0.09370674,-0.08016994,-0.14730419,-0.0036390652,0.0,-0.19820382,-0.14891775,-0.07195536,-0.079960264,-0.2283679,-0.732431,-0.061688133
hsa-miR-873-5p,-0.04782466,-0.19164944,-0.10351127,-0.051136,-0.06803914,0.015977792,0.011385468,0.010798174,-0.03880766,-0.06702861,0.048023015,-0.03173408,-0.06245229,0.059441086,0.020092184,-0.056432158,-0.045352813,0.10359501,-0.21009451,-0.06728264,-0.02764416,-0.29108164,-0.07526232,-0.06333583,-0.061407547,-0.096700706,-0.008635066,-0.12039595,-0.095321424,-0.17712207,-0.059601706,0.036127515,0.052621637,-0.034937754,0.010029136,-0.2268705,-0.19820382,0.0,0.019974133,-0.0077176183,-0.0775567,-0.044380613,-0.2656672,0.025904663
hsa-miR-10a-5p,-0.07432401,-0.056322496,-0.09979657,-0.030017287,-0.00855367,-0.0046685096,0.030458702,0.035124235,0.0059483317,-0.036991764,0.024547376,-0.04740734,-0.04822336,0.09858136,-0.0078038597,-0.018349502,0.0008714012,-0.0073260246,-0.12697731,-0.08345192,-0.028749388,-0.121569574,-0.02842536,-0.042931896,-0.023829278,0.20911318,0.011821337,0.027362809,-0.15888259,-0.10972388,-0.061628114,0.03590297,0.014212141,0.061077572,-0.018693615,-0.056337643,-0.14891775,0.019974133,0.0,0.010801631,-0.112377964,-0.019783411,-0.19240798,-0.08745128
hsa-miR-10b-5p,-0.08601857,0.21441653,-0.2450343,-0.008909405,-0.0041445484,-0.013129039,-0.006973303,0.0110424375,0.030183613,-0.024080118,0.027723756,-0.058489855,-0.04446583,0.24052724,0.061495386,0.008537245,0.015607807,0.011542198,-0.1149555,-0.10525811,-0.022729563,-0.19990508,-0.0053679706,-0.039603114,-0.063015975,0.11664015,0.039313488,-0.030551834,0.031926762,-0.06714595,-0.029923229,0.020027276,0.03605499,0.100625314,0.012083221,-0.09712381,-0.07195536,-0.0077176183,0.010801631,0.0,-0.04405364,-0.016130477,-0.009849917,0.012688646
hsa-miR-196a-5p,-0.114346676,0.08346273,0.23210612,-0.21962188,-0.1901602,-0.19190283,-0.18885286,-0.18901049,-0.1713228,-0.18076685,-0.17164943,-0.0918691,-0.10868014,0.29259714,0.04537642,-0.09168614,-0.11893147,-0.1271818,-0.12011084,-0.030737199,-0.07814871,-0.2862057,-0.18148999,-0.10555661,-0.099897996,0.06844256,-0.122618325,0.0018642242,0.0127655035,-0.082549065,0.06432791,-0.14185618,-0.049763728,0.012815603,-0.16722621,0.01765543,-0.079960264,-0.0775567,-0.112377964,-0.04405364,0.0,-0.1464222,-0.1272264,0.075162776
hsa-miR-193b-3p,-0.10856298,-0.56718004,-0.63046163,-0.021819275,-0.01998169,0.022796765,0.007548717,0.081675276,-0.023723397,-0.025174893,-0.016801668,-0.0023889446,0.034366205,-0.16938551,-0.07025805,-0.14193758,-0.12787537,0.030114513,-0.28498915,-0.10952149,-0.023908893,-0.33627203,-0.032912157,0.0066303723,0.02760734,-0.07334785,-0.050007068,-0.31002143,-0.20239471,-0.24781086,-0.21028447,0.012858385,-0.02894935,-0.26343918,0.02650814,-0.22529064,-0.2283679,-0.044380613,-0.019783411,-0.016130477,-0.1464222,0.0,-0.722854,-0.10256528
hsa-miR-3937,-0.05016159,-0.33967957,0.20778766,-0.82279724,-0.851088,-0.8099787,-0.7835634,-0.86950976,-0.41209018,-0.7689736,-0.7518497,-0.29251283,-0.5293303,-0.5310874,-0.5193236,-0.6715182,-0.6200565,-0.8061485,-0.35624596,-0.33189467,-0.31280008,0.2305561,-0.6851248,-0.8138505,-0.57796884,-0.43576232,-0.5632201,0.027771505,-0.3366097,-0.12365076,-0.47501227,-0.8322269,-0.7461979,-0.012811567,-0.44591042,-0.53994864,-0.732431,-0.2656672,-0.19240798,-0.009849917,-0.1272264,-0.722854,0.0,-0.44776702
hsa-miR-450b-3p,-0.0591598,-0.06682284,-0.058189817,-0.15778644,-0.23242898,-0.21610579,-0.18999334,-0.2247512,-0.07239157,-0.11892445,-0.081848264,0.07870675,-0.008329149,0.50282615,0.13761318,-0.030783793,-0.030020673,-0.31004313,-0.07022616,0.081629544,-0.14602685,0.16752435,-0.082800545,-0.026331365,0.056555785,-0.13788992,-0.09021779,-0.07009794,0.16370787,-0.05676998,-0.059057556,-0.42140263,-0.039983384,-0.11790337,-0.15390061,0.036881365,-0.061688133,0.025904663,-0.08745128,0.012688646,0.075162776,-0.10256528,-0.44776702,0.0
