,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-2110,hsa-miR-452-5p,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-137,0.02596292,0.048629217,0.025049826,0.0920533,0.11673421,0.14457196,0.18358578,0.24185017,0.046999067,0.063233905,0.053622235,0.06959411,0.10438013,0.0,-0.0018672359,0.024288427,0.015639063,0.23688015,0.10176307,0.04898098,0.070739225,0.024912361,0.10912199,0.26848665,0.11373983,0.021711675,0.03642605,0.0680946,0.064797714,0.03338267,0.044576563,0.03368885,0.32538733,0.018662216,0.039819065,0.096678495,0.020398127,0.027586237,0.027058987,0.02206176,0.05108941,0.0027325274,0.0038409154,0.14443439
hsa-miR-429,0.07108194,0.09478432,0.06479353,0.22972292,0.18734658,0.5152417,0.39683706,0.46271825,0.19922642,0.21850453,0.266886,0.07199944,0.15803039,-0.0018672359,0.0,-0.09601749,-0.01084482,0.18614197,-0.003269446,0.028661955,0.27607512,-0.027936965,0.14480013,0.20262578,0.10914069,0.010591506,-0.014247426,0.014383526,0.031865906,-0.04619493,0.10349854,0.044847935,0.4184431,-0.016816743,0.18483417,0.083896324,0.026526414,0.03413275,0.036135633,0.07953021,-0.011086799,0.04920601,0.05062721,0.21861471
hsa-miR-200b-3p,0.0062210304,0.15185802,0.0078356415,0.05067654,0.09769685,0.35237357,0.1692289,0.22743331,-0.046730798,0.10873654,0.1147755,0.024195345,0.100554556,0.024288427,-0.09601749,0.0,-0.045277767,0.22220181,0.03174413,-0.122794054,0.18173228,-0.02636618,0.13873987,0.12366449,0.069124475,-0.043409854,-0.005697809,0.04149267,0.0079808775,0.007783681,0.08147838,0.04136769,0.2907151,-0.001991853,0.00091841724,0.10123045,0.018921362,-0.086343266,0.07152764,-0.034776844,0.24846248,0.0333708,0.050485417,0.24883465
hsa-miR-200c-3p,0.0964568,0.15889117,0.009588544,0.13910453,0.104178526,0.3559633,0.2266042,0.24304384,0.061017107,0.09340023,0.24137427,0.051288925,0.15048574,0.015639063,-0.01084482,-0.045277767,0.0,0.30803287,0.06100103,0.013454513,0.17478342,-0.015025583,0.06821694,0.12803607,-0.00085258286,-0.04309646,0.0013882681,0.0042238315,-0.010993155,0.052328583,0.08340613,0.070551,0.34793037,-0.010592271,0.07391025,0.034235,0.0754597,-0.045825914,0.07300538,-0.007162995,0.26636425,0.047720812,0.01361641,0.12904868
hsa-miR-92a-3p,0.44568634,0.5273292,0.3643426,0.03237048,0.047097236,-0.04228952,-0.1646759,0.07048519,-0.07933461,0.08568653,0.15269801,0.10287334,0.17119282,0.23688015,0.18614197,0.22220181,0.30803287,0.0,0.15182601,0.36788878,-0.0042615463,0.043545328,0.21458396,0.20459978,-0.10834116,0.19084007,0.18928231,0.36761582,0.27913645,0.50112945,0.24483168,0.2183253,0.10102231,0.10291316,0.040829834,0.33909786,0.23918071,-0.018635526,-0.041769583,-0.23734981,0.10400925,0.1937935,0.41930684,0.44877082
hsa-miR-25-3p,0.089650124,0.26198113,0.121004276,0.35146153,0.32072058,-0.033369463,0.06488316,0.18905814,-0.013200052,0.064833485,-0.019919522,-0.040034495,-0.029207222,0.10176307,-0.003269446,0.03174413,0.06100103,0.15182601,0.0,0.04713604,0.02529653,0.0041115885,0.09119312,0.21859866,-0.20795609,0.09614224,0.02650491,0.31324705,0.0412013,0.05918599,0.16275583,0.03038688,-0.17908832,0.03573102,-0.17292075,-0.095794514,0.14713292,-0.03659413,-0.19536667,-0.07946117,0.16694154,0.04918783,0.2554693,0.19240595
hsa-miR-363-3p,0.06962471,0.082019605,0.062373053,0.51703763,0.5673653,0.33030432,0.37549248,0.48861995,0.2819196,0.4307487,0.40565833,0.11778302,0.27357173,0.04898098,0.028661955,-0.122794054,0.013454513,0.36788878,0.04713604,0.0,0.12559256,-0.014583558,0.35715324,0.22703008,0.085551776,0.056211945,0.018611511,0.21573943,0.053061984,0.27855274,0.17545153,0.06878256,0.074966714,0.009096197,0.28823772,0.045397338,0.24391599,0.03710261,0.21422489,0.31567064,0.1913804,0.022883113,0.1940563,0.09093842
hsa-miR-128-3p,0.2440619,0.065101236,0.005972489,0.2719138,0.38902733,0.12648296,0.120729454,0.06257656,-0.026772419,0.13109471,0.11427059,0.07020987,-0.07350053,0.070739225,0.27607512,0.18173228,0.17478342,-0.0042615463,0.02529653,0.12559256,0.0,0.016307736,0.18947399,0.15101,-0.13189177,0.017321914,0.03706922,0.23281577,0.064438365,0.32065213,0.27499634,0.03786584,0.1455168,-0.0040747877,0.010316056,0.16484813,0.25578222,0.21411909,0.023316244,-0.07137237,0.019091912,0.18887301,0.22841871,0.1300758
hsa-miR-3714,-0.02833937,0.008366764,0.0063820924,0.14472108,0.13322373,0.17070882,0.050790723,0.0997376,-0.0011454679,0.010660454,0.03967193,-0.014788781,-0.0075449105,0.024912361,-0.027936965,-0.02636618,-0.015025583,0.043545328,0.0041115885,-0.014583558,0.016307736,0.0,0.0008242039,-0.0032283238,-0.013680956,-0.023744484,-0.0057673524,0.0006314503,-0.010516738,-0.009191592,0.0029375253,-0.0039073937,0.06310885,-0.0071882494,-0.009598871,-0.025185036,-0.025903119,-0.016983064,-0.006679197,-0.007645219,-0.017650146,0.0052411547,0.019693306,-0.018715175
hsa-miR-204-5p,0.11107521,0.13648857,0.014480523,0.23802271,0.19807138,0.18721706,0.08770155,0.15823632,0.098988935,0.0571062,0.12377407,0.0032217153,0.12347538,0.10912199,0.14480013,0.13873987,0.06821694,0.21458396,0.09119312,0.35715324,0.18947399,0.0008242039,0.0,0.17500992,0.07688095,0.04227467,0.022123916,0.23377956,0.0992829,0.45989722,0.18832584,0.012269172,0.18236458,0.022441644,0.0863751,0.23713727,0.27751604,0.3785851,0.14837526,0.09129152,0.31848696,0.032054115,0.49029517,0.09654019
hsa-miR-211-5p,0.25504664,0.35241592,0.029268702,0.17802793,0.44467285,0.30908364,0.29981002,0.37620422,0.09591348,0.31866655,0.16308495,0.19651067,0.20636354,0.26848665,0.20262578,0.12366449,0.12803607,0.20459978,0.21859866,0.22703008,0.15101,-0.0032283238,0.17500992,0.0,0.013944195,0.117735095,0.0564355,0.31688976,0.072974734,0.30047867,0.35149089,0.08829941,0.36729673,0.030085515,-0.0019184231,0.16333795,0.28633678,0.10141594,0.21746533,0.13651049,0.033446796,0.090163335,0.29734486,0.10507646
hsa-miR-200a-3p,0.2284139,0.26170784,0.05858428,0.17621271,0.1335358,0.09935119,0.14404397,0.063073166,0.01625509,-0.06646599,-0.012408674,0.11560493,0.01927944,0.11373983,0.10914069,0.069124475,-0.00085258286,-0.10834116,-0.20795609,0.085551776,-0.13189177,-0.013680956,0.07688095,0.013944195,0.0,0.066919915,0.029148687,0.060330275,0.08796645,0.2000494,0.31088522,0.03640463,0.19533795,0.042487223,0.14152196,0.120280616,0.16701455,-0.17302835,-0.039787054,0.07341073,0.23870863,0.14640445,0.18936059,0.17822273
hsa-miR-135b-5p,0.044826526,0.015572588,-0.0060174037,0.44147712,0.38638085,0.31743827,0.37814146,0.40260297,0.19206707,0.26521832,0.2507129,0.15428543,0.121028796,0.021711675,0.010591506,-0.043409854,-0.04309646,0.19084007,0.09614224,0.056211945,0.017321914,-0.023744484,0.04227467,0.117735095,0.066919915,0.0,-0.0130267115,0.017029816,-0.010646739,0.013452351,-0.011964481,0.0062839966,0.39042583,-0.008514103,0.18945986,0.023772392,0.085525244,-0.022304287,0.17855379,0.06852434,0.031759687,0.01357546,-0.018944548,0.08275668
hsa-miR-449b-5p,0.004642559,-0.0028937038,0.0046915594,0.0913363,0.084443145,0.14262779,0.111481704,0.15573978,0.017967032,0.09695541,0.07705728,-0.0021862104,-0.00014917382,0.03642605,-0.014247426,-0.005697809,0.0013882681,0.18928231,0.02650491,0.018611511,0.03706922,-0.0057673524,0.022123916,0.0564355,0.029148687,-0.0130267115,0.0,0.00859986,0.00025490945,0.0047784364,0.0122660855,0.007970664,0.16907342,0.006373799,0.03203368,0.040583808,0.019251585,0.0064644883,0.0068807346,0.00543082,0.004668318,-0.0025514038,0.023363866,0.0083005205
hsa-miR-34a-5p,0.01624707,0.0123876715,0.009492428,0.43383363,0.39774346,0.5783558,0.4934099,0.4730095,0.30575168,0.43076065,0.22782391,0.057501715,0.18842472,0.0680946,0.014383526,0.04149267,0.0042238315,0.36761582,0.31324705,0.21573943,0.23281577,0.0006314503,0.23377956,0.31688976,0.060330275,0.017029816,0.00859986,0.0,0.05029701,0.05664744,-0.015510423,0.017109439,0.6105973,-0.0011406726,0.24917053,0.08039302,0.07755009,0.12655409,0.07773562,0.061194696,0.101479135,0.011073485,-0.023884315,0.031947408
