,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-2110,hsa-miR-452-5p,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-92a-3p,0.08474925,0.27627403,0.6325817,0.048143625,0.035559446,0.075938985,0.111543976,0.05615502,0.06347585,0.050564196,0.037689377,0.042965464,0.07381004,0.5905458,0.16239111,0.15447038,0.15262114,0.069503024,0.15135126,0.0577716,0.115342036,0.12383614,0.014128809,0.052125704,0.19048943,0.1642514,0.3965876,0.20349313,0.4170978,0.08200951,0.265915,0.59782356,0.04581429,0.34311855,0.036153458,0.1562096,0.17675115,0.18035361,0.062177,0.08104522,0.10295059,0.13872267,0.12250379,0.2428538
hsa-miR-25-3p,0.30273974,1.1889486,1.1211443,0.04813003,0.03952672,0.18686077,0.124395534,0.13844395,0.24323158,0.12307134,0.1813056,0.32550868,0.19280793,0.6056844,0.27043846,0.20535076,0.21493025,0.15135126,0.3684221,0.3092499,0.08522217,0.15194057,0.2222484,0.086584374,0.27089155,0.23762742,0.120060936,0.32332653,0.30937406,0.38609546,0.35671246,0.3120441,0.082426704,0.36057767,0.1201416,0.24145636,0.31691694,0.15832756,0.24144477,0.25346658,0.24831125,0.08343293,0.57240635,0.48267075
hsa-miR-363-3p,0.14915338,1.2693131,1.2219676,0.011624847,0.009111666,0.084669895,0.06199824,0.04873287,0.06645398,0.04288048,0.054018706,0.17730916,0.09113462,0.5449142,0.20152235,0.15462391,0.24345542,0.0577716,0.3092499,0.17734532,0.11285092,0.16664124,0.0570657,0.11047061,0.1323052,0.16456966,0.12394192,0.42176113,0.48318124,0.3195605,0.7385124,0.11597496,0.07703139,0.3460309,0.03796803,0.2890527,0.21767206,0.11006268,0.0938934,0.07208721,0.1993952,0.06782383,0.59675765,0.6345265
hsa-miR-128-3p,0.17874014,1.1205057,0.5429068,0.026490513,0.010132351,0.059486315,0.06342446,0.0759604,0.11207655,0.07853163,0.054205302,0.12866122,0.111879215,0.7852886,0.23936866,0.2435642,0.23768826,0.115342036,0.08522217,0.11285092,0.11686011,0.83855,0.05894583,0.063504055,0.12534037,0.13370703,0.35877395,0.4367535,0.5218671,0.1626611,0.16681343,0.20613849,0.059460476,0.54811245,0.095003985,0.23158205,0.22876877,0.08921595,0.08811072,0.094130546,0.15198368,0.092951216,0.61585224,0.40687007
hsa-miR-3714,0.11955846,0.6094684,0.97690433,0.917693,0.98414516,0.59347975,0.44373897,0.5927749,0.3085139,0.20789501,0.32046527,0.3100004,0.5202961,0.5290271,0.06462125,0.064691365,0.11511544,0.12383614,0.15194057,0.16664124,0.83855,0.47766122,0.4104181,0.07645848,0.29823154,0.11853135,0.18113516,0.65235674,0.3522727,0.5777165,0.43015108,0.23749208,0.21443126,0.7445661,0.391739,0.11633224,0.14992325,0.18657957,0.35609165,0.27775612,0.19145551,0.14138919,1.1592084,0.7204213
hsa-miR-204-5p,0.2109412,1.3068539,1.4491715,0.011751817,0.025006376,0.029970217,0.06870086,0.042374976,0.047756206,0.07623971,0.053685427,0.055489376,0.059313584,0.8629596,0.2183491,0.26835138,0.29329163,0.014128809,0.2222484,0.0570657,0.05894583,0.4104181,0.03853259,0.08030719,0.11767791,0.20928793,0.25709912,0.23934875,0.37616694,0.08388426,0.51536405,0.25502357,0.053125888,0.7102713,0.043829616,0.25754273,0.1856744,0.001496279,0.0149402395,0.033164617,0.048642408,0.07569601,0.2435275,0.47009638
hsa-miR-211-5p,0.12526044,0.48410565,1.2548668,0.058930825,0.036524862,0.06841176,0.0672354,0.05434573,0.108023964,0.05117344,0.114559695,0.070587955,0.0700075,0.7291053,0.17159787,0.23496975,0.22313152,0.052125704,0.086584374,0.11047061,0.063504055,0.07645848,0.08030719,0.104371674,0.19319178,0.1683334,0.30040196,0.15560225,0.22235085,0.07369274,0.123454034,0.35746676,0.026677009,0.38633692,0.1016431,0.17838466,0.12967014,0.04103585,0.061439782,0.06476856,0.12457579,0.11523853,0.11480183,0.52656555
hsa-miR-200a-3p,0.27121428,1.0791811,1.1404418,0.09038833,0.0937156,0.16466036,0.14727558,0.16965277,0.18860915,0.2810178,0.21110722,0.1302827,0.13788351,0.48835978,0.26338136,0.24137391,0.25506908,0.19048943,0.27089155,0.1323052,0.12534037,0.29823154,0.11767791,0.19319178,0.19142962,0.15967819,0.17591162,0.35525808,0.44904485,0.2316272,0.2970794,0.24668466,0.08129904,0.77096534,0.13449393,0.21013574,0.16726153,0.13002208,0.16760035,0.12841365,0.1302344,0.21903697,0.35068348,0.6094527
hsa-miR-135b-5p,0.23933095,0.2566415,0.20432594,0.18658113,0.14899439,0.17039198,0.1945733,0.18477373,0.2922604,0.23385161,0.23686421,0.3320303,0.28698233,0.18592152,0.21247073,0.11650838,0.14235471,0.1642514,0.23762742,0.16456966,0.13370703,0.11853135,0.20928793,0.1683334,0.15967819,0.15650195,0.06843666,0.19901447,0.10018939,0.16705231,0.24120186,0.09520643,0.091118895,0.5422139,0.33280376,0.1813424,0.21147549,0.05980124,0.36561513,0.2731421,0.29857495,0.0831541,0.49289003,0.415007
hsa-miR-449b-5p,0.19434819,0.28375408,0.3944612,0.26041052,0.42218325,0.35082358,0.28180367,0.38014063,0.21852192,0.4167358,0.37687996,0.22385544,0.13737936,1.0435776,0.07339561,0.079612404,0.11503216,0.3965876,0.120060936,0.12394192,0.35877395,0.18113516,0.25709912,0.30040196,0.17591162,0.06843666,0.07853164,0.13269585,0.0950549,0.11698385,0.11786085,0.2724451,0.28761953,0.47723198,0.2402875,0.41721356,0.14541113,0.06989657,0.090352975,0.117845125,0.10751407,0.058601096,0.36543223,0.46267915
hsa-miR-34a-5p,0.27651408,0.99809873,0.92827916,0.17243193,0.14964819,0.06860249,0.12984124,0.14400724,0.23751628,0.1891919,0.21503781,0.3717531,0.3540279,0.8020057,0.17565872,0.24713205,0.17485732,0.20349313,0.32332653,0.42176113,0.4367535,0.65235674,0.23934875,0.15560225,0.35525808,0.19901447,0.13269585,0.3785009,0.4516149,0.41624653,0.29833505,0.25920948,0.05112433,0.66514206,0.2841885,0.36953908,0.25957885,0.25810498,0.40586373,0.3479491,0.38036513,0.06847949,0.9564238,0.482799
hsa-miR-449a,0.33166113,0.83410484,1.2130828,0.39358836,0.42558634,0.17393032,0.22496516,0.24717396,0.34946057,0.27245316,0.23460816,0.5070696,0.5679769,1.1510003,0.2379766,0.10051681,0.115777455,0.4170978,0.30937406,0.48318124,0.5218671,0.3522727,0.37616694,0.22235085,0.44904485,0.10018939,0.0950549,0.4516149,0.30105743,0.3142371,0.1445527,0.18341479,0.20896858,0.55858475,0.313118,0.2701929,0.19793893,0.205736,0.14217483,0.33298418,0.31382293,0.09866271,0.5920426,0.7166048
hsa-miR-103a-3p,0.1736355,0.578539,1.3410624,0.055856608,0.061764654,0.022513503,0.08094646,0.06528797,0.08227342,0.11630789,0.06441964,0.10057428,0.12693222,0.6124441,0.2264753,0.32436982,0.31381327,0.08200951,0.38609546,0.3195605,0.1626611,0.5777165,0.08388426,0.07369274,0.2316272,0.16705231,0.11698385,0.41624653,0.3142371,0.31969523,0.36534026,0.20974751,0.029165218,0.5683563,0.17771812,0.34736305,0.30149972,0.14257316,0.20997135,0.2525493,0.23714617,0.07188438,0.80500156,0.49612695
hsa-miR-107,0.3706172,0.8452864,0.82583857,0.32491347,0.22168262,0.20561728,0.2266586,0.20069078,0.43859053,0.35350147,0.37710914,0.35944426,0.32641935,0.70029825,0.359579,0.27580997,0.27596265,0.265915,0.35671246,0.7385124,0.16681343,0.43015108,0.51536405,0.123454034,0.2970794,0.24120186,0.11786085,0.29833505,0.1445527,0.36534026,0.4086957,0.41123882,0.13395038,0.40116778,0.32335982,0.3635871,0.2855086,0.34909397,0.3470676,0.37877247,0.4730236,0.19841123,0.45364004,0.49383938
hsa-miR-2110,0.14772256,0.45479515,0.45620233,0.51119375,0.44790375,0.57702905,0.4321891,0.37312,0.30690905,0.44444972,0.24756882,0.12476775,0.15675071,0.35402817,0.44433847,0.28410184,0.3367698,0.59782356,0.3120441,0.11597496,0.20613849,0.23749208,0.25502357,0.35746676,0.24668466,0.09520643,0.2724451,0.25920948,0.18341479,0.20974751,0.41123882,0.119997084,0.35020077,0.5570901,0.26436946,0.25077394,0.24227962,0.17261872,0.13420923,0.15605208,0.18036866,0.091047734,0.18245445,0.5129135
hsa-miR-452-5p,0.09529959,0.16737504,0.33135763,0.046218522,0.0828729,0.07459272,0.060773365,0.05873523,0.05329781,0.099050514,0.03906115,0.05904433,0.066539936,0.47339302,0.111614846,0.20925121,0.19931556,0.04581429,0.082426704,0.07703139,0.059460476,0.21443126,0.053125888,0.026677009,0.08129904,0.091118895,0.28761953,0.05112433,0.20896858,0.029165218,0.13395038,0.35020077,0.06307033,0.38070685,0.08036759,0.06991378,0.1082429,0.112886116,0.0989733,0.0830976,0.08827622,0.12146655,0.096425444,0.1314943
hsa-miR-34b-5p,0.7350381,1.2937022,1.1897494,1.1349263,1.0111548,0.51536787,0.6014665,0.51437044,0.77544814,0.5675954,0.60535544,0.7321659,0.68229276,0.74830836,0.14397272,0.13815853,0.093947515,0.34311855,0.36057767,0.3460309,0.54811245,0.7445661,0.7102713,0.38633692,0.77096534,0.5422139,0.47723198,0.66514206,0.55858475,0.5683563,0.40116778,0.5570901,0.38070685,0.57869357,0.67142856,0.47843876,0.49852362,0.54375577,0.6397711,0.67931885,0.59150916,0.3152544,0.91584074,0.4607902
hsa-miR-143-5p,0.12447887,1.4588674,1.3141828,0.041439172,0.033795774,0.06319336,0.06633443,0.041280698,0.082023986,0.14593643,0.04776647,0.13979681,0.13470526,0.43633592,0.19770813,0.22039363,0.23427114,0.036153458,0.1201416,0.03796803,0.095003985,0.391739,0.043829616,0.1016431,0.13449393,0.33280376,0.2402875,0.2841885,0.313118,0.17771812,0.32335982,0.26436946,0.08036759,0.67142856,0.06600411,0.22395973,0.18868217,0.08678774,0.047310498,0.07808734,0.062906176,0.13511631,0.4827419,0.39899632
hsa-miR-18a-5p,0.2534731,0.6447459,0.6018416,0.21094665,0.17422244,0.19426776,0.2883299,0.28512624,0.30919945,0.33722064,0.28213018,0.29463395,0.28564033,0.360798,0.33709225,0.2601609,0.34681597,0.1562096,0.24145636,0.2890527,0.23158205,0.11633224,0.25754273,0.17838466,0.21013574,0.1813424,0.41721356,0.36953908,0.2701929,0.34736305,0.3635871,0.25077394,0.06991378,0.47843876,0.22395973,0.35325918,0.3496201,0.12638867,0.29692155,0.25613537,0.3709146,0.12796855,0.3887037,0.5897783
hsa-miR-18b-5p,0.2724197,0.73341715,0.7856307,0.09943636,0.07643894,0.15198773,0.1551197,0.20421167,0.32476443,0.23691069,0.33071366,0.26652995,0.22380292,0.19851895,0.4431663,0.3463814,0.34342936,0.17675115,0.31691694,0.21767206,0.22876877,0.14992325,0.1856744,0.12967014,0.16726153,0.21147549,0.14541113,0.25957885,0.19793893,0.30149972,0.2855086,0.24227962,0.1082429,0.49852362,0.18868217,0.3496201,0.33598635,0.13778254,0.18706861,0.264031,0.2560261,0.10761846,0.19622132,0.4912088
hsa-miR-873-5p,0.12283366,0.57002795,0.9256527,0.025622604,0.008719459,0.09273639,0.08814407,0.08755677,0.03795094,0.06647188,0.124781616,0.057077218,0.03904069,0.34648076,0.2386826,0.21444009,0.21147835,0.18035361,0.15832756,0.11006268,0.08921595,0.18657957,0.001496279,0.04103585,0.13002208,0.05980124,0.06989657,0.25810498,0.205736,0.14257316,0.34909397,0.17261872,0.112886116,0.54375577,0.08678774,0.12638867,0.13778254,0.0767586,0.096732736,0.069040984,0.15257569,0.06422755,0.66298515,0.5788016
hsa-miR-10a-5p,0.09633431,0.70535487,0.92936736,0.013348313,0.03877715,0.048063207,0.08311526,0.09355772,0.049313933,0.096508734,0.0970864,0.04140396,0.053269614,0.38562104,0.21078655,0.25252274,0.25770256,0.062177,0.24144477,0.0938934,0.08811072,0.35609165,0.0149402395,0.061439782,0.16760035,0.36561513,0.090352975,0.40586373,0.14217483,0.20997135,0.3470676,0.13420923,0.0989733,0.6397711,0.047310498,0.29692155,0.18706861,0.096732736,0.0433656,0.05416723,0.11775443,0.08882475,0.7362444,0.46544564
hsa-miR-10b-5p,0.08463975,0.9760939,0.7841296,0.024561062,0.04318627,0.03960268,0.045683254,0.06947593,0.06408795,0.10942038,0.10026278,0.030321443,0.057027146,0.5275669,0.2800858,0.2794095,0.27243897,0.08104522,0.25346658,0.07208721,0.094130546,0.27775612,0.033164617,0.06476856,0.12841365,0.2731421,0.117845125,0.3479491,0.33298418,0.2525493,0.37877247,0.15605208,0.0830976,0.67931885,0.07808734,0.25613537,0.264031,0.069040984,0.05416723,0.03347047,0.18607876,0.09247769,0.91880244,0.56558555
hsa-miR-196a-5p,0.11578572,0.8451401,1.26127,0.010510509,0.039972194,0.038229562,0.04127953,0.041121908,0.058809597,0.04936554,0.058482967,0.1382633,0.12145226,0.5796368,0.27550882,0.1791861,0.13789968,0.10295059,0.24831125,0.1993952,0.15198368,0.19145551,0.048642408,0.12457579,0.1302344,0.29857495,0.10751407,0.38036513,0.31382293,0.23714617,0.4730236,0.18036866,0.08827622,0.59150916,0.062906176,0.3709146,0.2560261,0.15257569,0.11775443,0.18607876,0.23013239,0.08371019,0.80142593,0.6280597
hsa-miR-193b-3p,0.062095337,0.19449736,0.3987023,0.086788885,0.088626474,0.13140492,0.116156876,0.19028343,0.08488476,0.1083256,0.09180649,0.10621922,0.14297436,0.117654175,0.14833236,0.12893465,0.1289558,0.13872267,0.08343293,0.06782383,0.092951216,0.14138919,0.07569601,0.11523853,0.21903697,0.0831541,0.058601096,0.06847949,0.09866271,0.07188438,0.19841123,0.091047734,0.12146655,0.3152544,0.13511631,0.12796855,0.10761846,0.06422755,0.08882475,0.09247769,0.08371019,0.108608164,0.2057983,0.45033166
hsa-miR-3937,0.87849075,0.58897275,1.2369516,0.10585511,0.07756434,0.11867361,0.14508896,0.059142556,0.51656216,0.15967876,0.17680259,0.6361395,0.39932203,0.39756492,0.40932873,0.2571341,0.30859584,0.12250379,0.57240635,0.59675765,0.61585224,1.1592084,0.2435275,0.11480183,0.35068348,0.49289003,0.36543223,0.9564238,0.5920426,0.80500156,0.45364004,0.18245445,0.096425444,0.91584074,0.4827419,0.3887037,0.19622132,0.66298515,0.7362444,0.91880244,0.80142593,0.2057983,0.92865235,0.4808853
hsa-miR-450b-3p,0.49373713,0.69485456,0.97097415,0.3951105,0.32046795,0.33679116,0.3629036,0.32814574,0.48050538,0.43397248,0.47104868,0.63160366,0.54456776,1.0557231,0.6905101,0.52211314,0.52287626,0.2428538,0.48267075,0.6345265,0.40687007,0.7204213,0.47009638,0.52656555,0.6094527,0.415007,0.46267915,0.482799,0.7166048,0.49612695,0.49383938,0.5129135,0.1314943,0.4607902,0.39899632,0.5897783,0.4912088,0.5788016,0.46544564,0.56558555,0.6280597,0.45033166,0.4808853,0.5528969
