,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-3714,0.007345573,0.015558505,0.019228805,0.18040602,0.16890867,0.20639376,0.08647567,0.13542254,0.034539476,0.046345398,0.07535688,0.020896161,0.028140033,0.04215231,0.007747977,0.009318763,0.02065936,0.07923027,0.03979653,0.021101385,0.05199268,0.035684943,0.036509145,0.032456618,0.022003986,0.011940458,0.012281693,0.036316395,0.025168205,0.02649335,0.03862247,0.09879379,0.0035384411,0.021338813,0.026086072,0.010499908,0.0097818235,0.01870188,0.029005745,0.028039724,0.018034797,0.012700649,0.055378247,0.008026892
hsa-miR-204-5p,0.18491109,0.14368032,0.027327236,0.9258114,0.88586,0.8750057,0.7754902,0.846025,0.7867776,0.72418046,0.8115627,0.69101036,0.66054416,0.12636195,0.36767673,0.3348315,0.22389488,0.89550495,0.5245869,0.69657266,0.7511959,0.036509145,0.68778867,0.5692345,0.58520496,0.12587431,0.04017296,0.3217898,0.14134859,0.67279667,0.24074802,0.6430945,0.019715007,0.050968707,0.7261344,0.53036356,0.55926543,0.8577026,0.83616394,0.77908015,0.68733656,0.03951361,0.5998406,0.123282254
hsa-miR-211-5p,0.3288825,0.35960767,0.042115416,0.5722525,0.8388974,0.7033082,0.6940346,0.77042884,0.49013805,0.71289116,0.5573095,0.59073526,0.60058814,0.28572658,0.4255024,0.31975615,0.28371403,0.5988244,0.61282325,0.56644946,0.54523456,0.032456618,0.5692345,0.39422458,0.40816876,0.20133474,0.07448454,0.4049,0.11504042,0.5133781,0.40391308,0.7615213,0.09574524,0.058612578,0.39230615,0.45656425,0.5680862,0.49564052,0.61168987,0.5307351,0.40229642,0.097622834,0.40689027,0.13181853
hsa-miR-200a-3p,0.30224976,0.26889956,0.071430996,0.6845367,0.6418598,0.6076752,0.65236795,0.5713972,0.5245791,0.44185802,0.49591532,0.62392896,0.52760345,0.13097979,0.3320173,0.2652161,0.15482536,0.39998287,0.2254377,0.4249712,0.37643224,0.022003986,0.58520496,0.40816876,0.508324,0.15051956,0.047197733,0.14834052,0.13003214,0.41294885,0.36330742,0.65606785,0.043850463,0.071014285,0.64984596,0.41350693,0.448764,0.30608916,0.46853694,0.5817347,0.60755825,0.15386394,0.298906,0.2049648
hsa-miR-135b-5p,0.118662395,0.022764329,0.006829309,0.52507675,0.4699805,0.40103793,0.4617411,0.48620263,0.2756667,0.34881797,0.33431253,0.23788507,0.20462844,0.038951628,0.09419116,0.04018979,0.04050319,0.2744397,0.17974189,0.13981159,0.100921564,0.011940458,0.12587431,0.20133474,0.15051956,0.08359965,0.005022334,0.100629464,0.031418953,0.097052,0.040457707,0.4740255,0.013729831,0.02001296,0.27305952,0.10737204,0.16912489,0.06129536,0.26215345,0.15212399,0.115359336,0.021034954,0.064655095,0.109498754
hsa-miR-449b-5p,0.022691604,0.004298038,0.017538272,0.10938535,0.10249219,0.16067684,0.12953076,0.17378883,0.036016077,0.11500446,0.095106326,0.015862836,0.01789987,0.053666,0.0038016196,0.012351236,0.019437313,0.20733136,0.044553954,0.036660556,0.055118266,0.012281693,0.04017296,0.07448454,0.047197733,0.005022334,0.018049045,0.026648905,0.018303955,0.022827482,0.030315131,0.18712246,0.015416498,0.024422845,0.05008272,0.058632854,0.03730063,0.024513533,0.02492978,0.023479866,0.022717364,0.004908091,0.041412912,0.026349565
hsa-miR-34a-5p,0.09008294,0.019579412,0.022339141,0.52184385,0.48575372,0.66636604,0.5814201,0.5610197,0.39376193,0.5187709,0.31583416,0.14551196,0.27643496,0.085334554,0.10239377,0.1295029,0.092234075,0.45562607,0.40125728,0.30374968,0.32082602,0.036316395,0.3217898,0.4049,0.14834052,0.100629464,0.026648905,0.088010244,0.0923627,0.14465769,0.036911767,0.69860756,0.024555273,0.02738639,0.33718076,0.16840325,0.16556033,0.21456434,0.16574587,0.14920494,0.18948938,0.01853298,0.064125925,0.058689475
hsa-miR-449a,0.11670156,0.016401589,0.026271833,0.19790705,0.25342715,0.45738497,0.23008436,0.2353823,0.16030674,0.1928121,0.20947756,0.08627578,0.1233378,0.082037665,0.0739316,0.05004657,0.031072536,0.32120213,0.083266996,0.09512768,0.10650406,0.025168205,0.14134859,0.11504042,0.13003214,0.031418953,0.018303955,0.0923627,0.04206569,0.08042138,0.03505671,0.27649176,0.004024022,0.04435376,0.1564922,0.095213294,0.04211043,0.08385638,0.04087256,0.043404732,0.11387602,0.028261079,0.0599339,0.08664361
hsa-miR-103a-3p,0.097749084,0.02486293,0.020432638,0.7752322,0.7010642,0.9095829,0.7682867,0.8114979,0.7805705,0.6092147,0.84257245,0.52435863,0.58996487,0.05062262,0.16670449,0.20387533,0.20800653,0.71402884,0.27208543,0.49145216,0.5335516,0.02649335,0.67279667,0.5133781,0.41294885,0.097052,0.022827482,0.14465769,0.08042138,0.21289943,0.050972138,0.76164854,0.01993787,0.034120902,0.6407205,0.15672503,0.2564918,0.21916775,0.22973506,0.2866987,0.36508542,0.009646895,0.14274365,0.10523423
hsa-miR-107,0.092952035,0.021774922,0.0031436223,0.4362694,0.58528364,0.5387875,0.6148283,0.63991094,0.09742638,0.28285256,0.16401121,0.11545903,0.098945394,0.061816514,0.15592073,0.13390057,0.13582832,0.29725388,0.21517803,0.22787371,0.3274185,0.03862247,0.24074802,0.40391308,0.36330742,0.040457707,0.030315131,0.036911767,0.03505671,0.050972138,0.05242219,0.506417,0.038364712,0.01109371,0.14096808,0.104130924,0.15274304,0.08549212,0.054105736,0.09767712,0.12836261,0.055811714,0.051641565,0.12306272
