module,module_display,category,n_module_genes,n_targets_A,n_targets_B,n_union,n_overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity,mirA,mirB
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,58,31,87,2,0.10175438596491228,0.054385964912280704,0.15263157894736842,0.050877192982456146,0.9770114942528736,hsa-miR-137-3p,hsa-miR-449b-5p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,43,31,66,8,0.14675767918088736,0.10580204778156997,0.22525597269624573,0.07849829351535836,0.8787878787878788,hsa-miR-137-3p,hsa-miR-449b-5p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,58,31,84,5,0.1351981351981352,0.07226107226107226,0.1958041958041958,0.06060606060606061,0.9404761904761905,hsa-miR-137-3p,hsa-miR-449b-5p
Retinoid response,Retinoid response (GO),nb_differentiation,89,7,4,9,2,0.07865168539325842,0.0449438202247191,0.10112359550561797,0.02247191011235955,0.7777777777777778,hsa-miR-137-3p,hsa-miR-449b-5p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,58,31,87,2,0.10175438596491228,0.054385964912280704,0.15263157894736842,0.050877192982456146,0.9770114942528736,hsa-miR-137-3p,hsa-miR-449a
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,43,31,66,8,0.14675767918088736,0.10580204778156997,0.22525597269624573,0.07849829351535836,0.8787878787878788,hsa-miR-137-3p,hsa-miR-449a
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,58,31,84,5,0.1351981351981352,0.07226107226107226,0.1958041958041958,0.06060606060606061,0.9404761904761905,hsa-miR-137-3p,hsa-miR-449a
Retinoid response,Retinoid response (GO),nb_differentiation,89,7,4,9,2,0.07865168539325842,0.0449438202247191,0.10112359550561797,0.02247191011235955,0.7777777777777778,hsa-miR-137-3p,hsa-miR-449a
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,58,0,58,0,0.10175438596491228,0.0,0.10175438596491228,0.0,1.0,hsa-miR-137-3p,hsa-miR-450b-3p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,43,0,43,0,0.14675767918088736,0.0,0.14675767918088736,0.0,1.0,hsa-miR-137-3p,hsa-miR-450b-3p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,58,0,58,0,0.1351981351981352,0.0,0.1351981351981352,0.0,1.0,hsa-miR-137-3p,hsa-miR-450b-3p
Retinoid response,Retinoid response (GO),nb_differentiation,89,7,0,7,0,0.07865168539325842,0.0,0.07865168539325842,0.0,1.0,hsa-miR-137-3p,hsa-miR-450b-3p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,53,0,53,0,0.09298245614035087,0.0,0.09298245614035087,0.0,1.0,hsa-miR-429,hsa-miR-2110
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,43,0,43,0,0.14675767918088736,0.0,0.14675767918088736,0.0,1.0,hsa-miR-429,hsa-miR-2110
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,77,0,77,0,0.1794871794871795,0.0,0.1794871794871795,0.0,1.0,hsa-miR-429,hsa-miR-2110
Retinoid response,Retinoid response (GO),nb_differentiation,89,7,0,7,0,0.07865168539325842,0.0,0.07865168539325842,0.0,1.0,hsa-miR-429,hsa-miR-2110
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,66,31,93,4,0.11578947368421053,0.054385964912280704,0.1631578947368421,0.04736842105263159,0.956989247311828,hsa-miR-128-3p,hsa-miR-449b-5p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,49,31,71,9,0.16723549488054607,0.10580204778156997,0.24232081911262798,0.07508532423208192,0.8732394366197183,hsa-miR-128-3p,hsa-miR-449b-5p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,54,31,75,10,0.1258741258741259,0.07226107226107226,0.17482517482517482,0.04895104895104893,0.8666666666666667,hsa-miR-128-3p,hsa-miR-449b-5p
Retinoid response,Retinoid response (GO),nb_differentiation,89,15,4,16,3,0.16853932584269662,0.0449438202247191,0.1797752808988764,0.011235955056179775,0.8125,hsa-miR-128-3p,hsa-miR-449b-5p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,66,31,93,4,0.11578947368421053,0.054385964912280704,0.1631578947368421,0.04736842105263159,0.956989247311828,hsa-miR-128-3p,hsa-miR-449a
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,49,31,71,9,0.16723549488054607,0.10580204778156997,0.24232081911262798,0.07508532423208192,0.8732394366197183,hsa-miR-128-3p,hsa-miR-449a
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,54,31,75,10,0.1258741258741259,0.07226107226107226,0.17482517482517482,0.04895104895104893,0.8666666666666667,hsa-miR-128-3p,hsa-miR-449a
