feature,feature_key,n_synergistic,n_nonsynergistic,median_synergistic,median_nonsynergistic,mannwhitney_p
Jaccard similarity,jaccard,19,647,0.08349609375,0.07718348002708192,0.18186018581857433
Union target size,size_union,19,647,2031.0,1724.0,0.0021539337439278536
Size ratio,size_ratio,19,647,0.6163265306122448,0.6312709030100334,0.23457359243119724
Best single NL,best_single_nl,34,912,0.20781630853032482,0.2963380124324821,0.017180206510003716
Expression correlation,expr_corr,32,829,-0.0333338778631454,0.0015457598533324293,0.10613807698784021
