label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-27b-3p,hsa-miR-449a,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1421,755,2031,86,45,117,14,0.16862745098039217,0.08823529411764706,0.22941176470588234,0.060784313725490174,0.8803418803418803
synergy,hsa-miR-27b-3p,hsa-miR-449a,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1421,755,2031,67,48,101,14,0.1572769953051643,0.11267605633802817,0.23708920187793428,0.07981220657276997,0.8613861386138614
synergy,hsa-miR-27b-3p,hsa-miR-449a,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1421,755,2031,17,13,30,0,0.07623318385650224,0.05829596412556054,0.13452914798206278,0.05829596412556054,1.0
synergy,hsa-miR-27b-3p,hsa-miR-449a,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1421,755,2031,13,5,18,0,0.06806282722513089,0.02617801047120419,0.09424083769633508,0.02617801047120419,1.0
synergy,hsa-miR-27b-3p,hsa-miR-449a,UPR / ER stress (liability),UPR/ER stress (control),control,89,1421,755,2031,10,5,13,2,0.11235955056179775,0.056179775280898875,0.14606741573033707,0.033707865168539325,0.8461538461538461
synergy,hsa-miR-27b-3p,hsa-miR-449a,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1421,755,2031,43,20,62,1,0.1184573002754821,0.05509641873278237,0.17079889807162535,0.05234159779614325,0.9838709677419355
synergy,hsa-miR-27b-3p,hsa-miR-449a,EMT (alternate morphology),EMT (control),control,175,1421,755,2031,21,7,28,0,0.12,0.04,0.16,0.04000000000000001,1.0
synergy,hsa-miR-27b-3p,hsa-miR-449a,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1421,755,2031,104,72,163,13,0.10710607621009269,0.07415036045314109,0.1678681771369722,0.0607621009268795,0.9202453987730062
