label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,2211,1421,3228,116,86,174,28,0.22745098039215686,0.16862745098039217,0.3411764705882353,0.11372549019607844,0.8390804597701149
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,2211,1421,3228,87,67,137,17,0.20422535211267606,0.1572769953051643,0.3215962441314554,0.11737089201877932,0.8759124087591241
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,2211,1421,3228,24,17,38,3,0.10762331838565023,0.07623318385650224,0.17040358744394618,0.06278026905829595,0.9210526315789473
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,2211,1421,3228,22,13,32,3,0.11518324607329843,0.06806282722513089,0.16753926701570682,0.05235602094240839,0.90625
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,UPR / ER stress (liability),UPR/ER stress (control),control,89,2211,1421,3228,16,10,24,2,0.1797752808988764,0.11235955056179775,0.2696629213483146,0.0898876404494382,0.9166666666666666
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,2211,1421,3228,63,43,96,10,0.17355371900826447,0.1184573002754821,0.2644628099173554,0.09090909090909091,0.8958333333333334
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,EMT (alternate morphology),EMT (control),control,175,2211,1421,3228,35,21,51,5,0.2,0.12,0.2914285714285714,0.09142857142857141,0.9019607843137255
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-27a-3p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,2211,1421,3228,217,104,285,36,0.223480947476828,0.10710607621009269,0.29351184346035014,0.07003089598352213,0.8736842105263158
