label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,2211,755,2743,116,45,149,12,0.22745098039215686,0.08823529411764706,0.29215686274509806,0.0647058823529412,0.9194630872483222
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,2211,755,2743,87,48,124,11,0.20422535211267606,0.11267605633802817,0.29107981220657275,0.08685446009389669,0.9112903225806451
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,2211,755,2743,24,13,33,4,0.10762331838565023,0.05829596412556054,0.14798206278026907,0.04035874439461884,0.8787878787878788
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,2211,755,2743,22,5,26,1,0.11518324607329843,0.02617801047120419,0.13612565445026178,0.02094240837696336,0.9615384615384616
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,UPR / ER stress (liability),UPR/ER stress (control),control,89,2211,755,2743,16,5,19,2,0.1797752808988764,0.056179775280898875,0.21348314606741572,0.033707865168539325,0.8947368421052632
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,2211,755,2743,63,20,76,7,0.17355371900826447,0.05509641873278237,0.209366391184573,0.03581267217630854,0.9078947368421053
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,EMT (alternate morphology),EMT (control),control,175,2211,755,2743,35,7,40,2,0.2,0.04,0.22857142857142856,0.028571428571428553,0.95
synergy,hsa-miR-124-3p.1;hsa-miR-124-3p.2,hsa-miR-34b-5p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,2211,755,2743,217,72,262,27,0.223480947476828,0.07415036045314109,0.2698249227600412,0.04634397528321321,0.8969465648854962
