label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1381,755,1992,76,45,113,8,0.14901960784313725,0.08823529411764706,0.22156862745098038,0.07254901960784313,0.9292035398230089
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1381,755,1992,56,48,96,8,0.13145539906103287,0.11267605633802817,0.22535211267605634,0.09389671361502347,0.9166666666666666
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1381,755,1992,21,13,30,4,0.09417040358744394,0.05829596412556054,0.13452914798206278,0.04035874439461884,0.8666666666666667
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1381,755,1992,9,5,14,0,0.04712041884816754,0.02617801047120419,0.07329842931937172,0.02617801047120418,1.0
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,UPR / ER stress (liability),UPR/ER stress (control),control,89,1381,755,1992,9,5,13,1,0.10112359550561797,0.056179775280898875,0.14606741573033707,0.0449438202247191,0.9230769230769231
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1381,755,1992,40,20,57,3,0.11019283746556474,0.05509641873278237,0.15702479338842976,0.046831955922865015,0.9473684210526316
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,EMT (alternate morphology),EMT (control),control,175,1381,755,1992,12,7,19,0,0.06857142857142857,0.04,0.10857142857142857,0.039999999999999994,1.0
synergy,hsa-miR-20b-5p,hsa-miR-449b-5p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1381,755,1992,128,72,192,8,0.13182286302780638,0.07415036045314109,0.19773429454170957,0.06591143151390319,0.9583333333333334
