label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-137,hsa-miR-449a,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1314,755,1935,76,45,111,10,0.14901960784313725,0.08823529411764706,0.21764705882352942,0.06862745098039216,0.9099099099099099
synergy,hsa-miR-137,hsa-miR-449a,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1314,755,1935,61,48,97,12,0.1431924882629108,0.11267605633802817,0.22769953051643194,0.08450704225352113,0.8762886597938144
synergy,hsa-miR-137,hsa-miR-449a,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1314,755,1935,22,13,30,5,0.09865470852017937,0.05829596412556054,0.13452914798206278,0.035874439461883414,0.8333333333333334
synergy,hsa-miR-137,hsa-miR-449a,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1314,755,1935,12,5,17,0,0.06282722513089005,0.02617801047120419,0.08900523560209424,0.02617801047120419,1.0
synergy,hsa-miR-137,hsa-miR-449a,UPR / ER stress (liability),UPR/ER stress (control),control,89,1314,755,1935,9,5,12,2,0.10112359550561797,0.056179775280898875,0.1348314606741573,0.033707865168539325,0.8333333333333334
synergy,hsa-miR-137,hsa-miR-449a,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1314,755,1935,22,20,39,3,0.06060606060606061,0.05509641873278237,0.10743801652892562,0.046831955922865015,0.9230769230769231
synergy,hsa-miR-137,hsa-miR-449a,EMT (alternate morphology),EMT (control),control,175,1314,755,1935,15,7,22,0,0.08571428571428572,0.04,0.12571428571428572,0.04000000000000001,1.0
synergy,hsa-miR-137,hsa-miR-449a,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1314,755,1935,89,72,154,7,0.09165808444902163,0.07415036045314109,0.15859938208032956,0.06694129763130793,0.9545454545454546
