pair,cox_HR,cox_CI_lo,cox_CI_hi,cox_p,penalized
miR-124-3p + miR-363-3p,0.14747050370239528,0.03497203190541757,0.6218554735697024,0.009135051118046727,False
miR-124-3p + miR-34b-5p,0.18652636435602224,0.052142584134271405,0.667248951649253,0.009819729979200909,False
miR-137-3p + miR-450b-5p,0.4110395666698138,0.1474683984046264,1.1456930921873216,0.08914772205930614,True
miR-137-3p + miR-449b-5p,0.6491190581963253,0.031271579623846774,13.474073161061911,0.7800433595489538,True
miR-137-3p + miR-17-5p,0.8342487330844581,0.22057075605577223,3.1553183255038775,0.78947014664023,False
miR-19b-3p + miR-2110,1.0240791352582157,0.33404342342904825,3.13952618646291,0.966795207022127,False
