label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,793,755,1448,49,45,88,6,0.09607843137254903,0.08823529411764706,0.17254901960784313,0.07647058823529411,0.9318181818181819
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,793,755,1448,30,48,74,4,0.07042253521126761,0.11267605633802817,0.17370892018779344,0.061032863849765265,0.9459459459459459
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,793,755,1448,15,13,26,2,0.06726457399103139,0.05829596412556054,0.11659192825112108,0.04932735426008969,0.9230769230769231
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,793,755,1448,8,5,13,0,0.041884816753926704,0.02617801047120419,0.06806282722513089,0.02617801047120419,1.0
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,UPR / ER stress (liability),UPR/ER stress (control),control,89,793,755,1448,6,5,9,2,0.06741573033707865,0.056179775280898875,0.10112359550561797,0.033707865168539325,0.7777777777777778
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,793,755,1448,19,20,38,1,0.05234159779614325,0.05509641873278237,0.1046831955922865,0.049586776859504134,0.9736842105263158
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,EMT (alternate morphology),EMT (control),control,175,793,755,1448,12,7,18,1,0.06857142857142857,0.04,0.10285714285714286,0.03428571428571428,0.9444444444444444
synergy,hsa-miR-211-5p,hsa-miR-449b-5p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,793,755,1448,73,72,137,8,0.07518022657054584,0.07415036045314109,0.141091658084449,0.06591143151390318,0.9416058394160584
