label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-137,hsa-miR-363-3p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1314,1041,1922,76,58,114,20,0.14901960784313725,0.11372549019607843,0.2235294117647059,0.07450980392156864,0.8245614035087719
synergy,hsa-miR-137,hsa-miR-363-3p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1314,1041,1922,61,60,97,24,0.1431924882629108,0.14084507042253522,0.22769953051643194,0.08450704225352113,0.7525773195876289
synergy,hsa-miR-137,hsa-miR-363-3p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1314,1041,1922,22,14,29,7,0.09865470852017937,0.06278026905829596,0.13004484304932734,0.031390134529147976,0.7586206896551724
synergy,hsa-miR-137,hsa-miR-363-3p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1314,1041,1922,12,7,18,1,0.06282722513089005,0.03664921465968586,0.09424083769633508,0.03141361256544503,0.9444444444444444
synergy,hsa-miR-137,hsa-miR-363-3p,UPR / ER stress (liability),UPR/ER stress (control),control,89,1314,1041,1922,9,11,17,3,0.10112359550561797,0.12359550561797752,0.19101123595505617,0.06741573033707865,0.8235294117647058
synergy,hsa-miR-137,hsa-miR-363-3p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1314,1041,1922,22,21,36,7,0.06060606060606061,0.05785123966942149,0.09917355371900827,0.03856749311294766,0.8055555555555556
synergy,hsa-miR-137,hsa-miR-363-3p,EMT (alternate morphology),EMT (control),control,175,1314,1041,1922,15,10,20,5,0.08571428571428572,0.05714285714285714,0.11428571428571428,0.028571428571428567,0.75
synergy,hsa-miR-137,hsa-miR-363-3p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1314,1041,1922,89,87,148,28,0.09165808444902163,0.08959835221421215,0.15242018537590113,0.0607621009268795,0.8108108108108107
