combination,ci,log2_ci,neglog10_p_nl,same_family,dual_positive,nl_synergy,cbca_improvement
hsa-miR-211-5p + hsa-miR-25-3p,3.395831194876878,1.7637647450019966,2.946706954496006,False,False,-0.20907277590377815,-0.30565404348314795
hsa-miR-204-5p + hsa-miR-92a-3p,2.8313024921068766,1.501465892849913,1.396690392068256,False,False,-0.05339661369060665,-0.5375255513229297
hsa-miR-107 + hsa-miR-200b-3p,1.4048953378374178,0.49046265627735064,0.2695481445582266,False,False,-0.1095771700375775,0.09793350136860111
hsa-miR-106b-5p + hsa-miR-18a-5p,1.5797448302968766,0.6596915446080036,1.1448041219708158,False,False,-0.13461795039915656,-0.21783685685227674
hsa-miR-17-5p + hsa-miR-449b-5p,0.3771091567588527,-1.4069459132484057,1.5671255670719513,False,True,0.17221013622549752,0.17227432016320168
hsa-miR-17-5p + hsa-miR-27b-3p,1.18210374109105,0.24135665158147407,0.3666916918571907,False,False,-0.018125615163028172,-0.378211519563148
hsa-miR-200a-3p + hsa-miR-506-3p,1.0421191177226,0.05952019194056192,0.07178069129945919,False,False,-0.045145161903603404,0.14347427830908435
hsa-miR-18b-5p + hsa-miR-506-3p,1.4684836206894685,0.5543271740850578,0.6588996137329265,False,False,-0.35634823931998494,0.1648036050009349
hsa-miR-449b-5p + hsa-miR-92a-3p,0.3199532976037963,-1.6440667592515055,1.4129662584404894,False,False,0.2215980783388522,0.009628348433808082
hsa-miR-200b-3p + hsa-miR-449a,2.612129071555059,1.385226185663733,1.4468576411698162,False,False,-0.1990348749812556,0.15946347675923955
hsa-miR-19a-3p + hsa-miR-449a,0.8595940728261199,-0.21827255992744132,0.41026785166193264,False,False,0.0526763934488671,0.03729101477071203
hsa-miR-34b-5p + hsa-miR-429,2.799757729296472,1.4853019922185717,1.2245732270689094,False,False,-0.3480260952874463,0.19581074809864218
hsa-miR-137 + hsa-miR-363-3p,0.5421870287361941,-0.8831374962853573,1.3050404539748197,False,True,0.21431996505244083,0.14321940869678154
hsa-miR-10a-5p + hsa-miR-363-3p,1.6603467171209902,0.7314845396687408,0.8396596131815184,False,False,-0.06046487280604902,-0.22977620029115572
hsa-miR-20b-5p + hsa-miR-211-5p,2.7631161395881763,1.4662962029345306,1.2658804114466944,False,False,-0.12462404757365428,-0.3658323627575789
hsa-miR-204-5p + hsa-miR-34b-5p,0.8957940828193088,-0.15876095840510906,0.1993904864799381,False,False,0.06297996354188773,0.16063117542758346
hsa-miR-106b-5p + hsa-miR-200b-3p,1.0828025909969272,0.11477024483945741,0.2938769473618249,False,False,-0.021206859369069964,-0.2329989731687551
hsa-miR-103a-3p + hsa-miR-18a-5p,0.9899502491631922,-0.014572071805295017,0.025873048397456598,False,False,0.003723873823736956,0.06974882230735163
hsa-miR-17-5p + hsa-miR-449a,0.9288249229198957,-0.10652141070010562,0.20183128586545043,False,False,0.024712580059417677,0.07437297804746673
hsa-miR-17-5p + hsa-miR-27a-3p,1.2519813264779662,0.32421304438032206,0.8216420342582584,False,False,-0.021310342938075086,-0.38004400524807624
hsa-miR-196a-5p + hsa-miR-506-3p,0.8792314786295475,-0.18568505567737315,0.23203903695725187,False,False,0.15342630755420195,0.19049091526973577
hsa-miR-10b-5p + hsa-miR-506-3p,1.3134719233293737,0.39338536186750866,0.4784322533946929,False,False,-0.2665797567917044,0.19875075544407522
hsa-miR-34b-5p + hsa-miR-449b-5p,1.0835508541562535,0.11576686484584175,0.14539617874743974,False,False,-0.04174647488879779,0.1802214809923153
hsa-miR-200a-3p + hsa-miR-449a,0.7730024813054985,-0.3714550497393196,0.839351433928437,False,False,0.0947031065233086,0.08502262290620748
hsa-miR-18b-5p + hsa-miR-449a,1.5021623703346032,0.5870407637282498,0.5590632678252557,False,False,-0.11081263050421142,0.16410353840100256
hsa-miR-34a-5p + hsa-miR-429,2.0132924581287157,1.0095567585707765,1.0450816306233779,False,False,-0.1915103992565113,0.11959839995632414
hsa-miR-124-3p + hsa-miR-363-3p,0.5948193456322233,-0.749476525180617,1.5523090566861206,False,True,0.5427382848696537,0.12399896533401664
hsa-miR-20a-5p + hsa-miR-211-5p,1.1684534403795697,0.2246002478804489,0.2268851672324355,False,False,-0.014387133064708374,-0.34213095857261533
hsa-miR-204-5p + hsa-miR-34a-5p,1.550551429395974,0.6327813787102999,0.7689951724609165,False,False,-0.13510646684629737,-0.045968415347266006
hsa-miR-103a-3p + hsa-miR-200b-3p,0.9700753464348163,-0.043831288096595755,0.0922658354305188,False,False,0.009220985086401123,0.04174370553173995
hsa-miR-18a-5p + hsa-miR-93-5p,1.2417468288799527,0.3123710624868419,0.6855878023347839,False,False,-0.07141357235159934,-0.07733219957945284
hsa-miR-17-5p + hsa-miR-429,0.7623426432777693,-0.3914885162632352,0.9410182205514889,False,False,0.06868533788172951,-0.12763002757580658
hsa-miR-17-5p + hsa-miR-25-3p,1.515610364714408,0.5998989110657165,1.9449889262107738,False,False,-0.10081413681665244,-0.14169526413424935
hsa-miR-137 + hsa-miR-506-3p,1.317627798854556,0.39794289797786453,0.49489212524561194,False,False,-0.2692620009079545,0.17086449491832323
hsa-miR-10a-5p + hsa-miR-506-3p,1.0804334048969606,0.11161015097040314,0.12613193464719546,False,False,-0.08315488417305295,0.18926962404926012
hsa-miR-34a-5p + hsa-miR-449b-5p,1.8547041476204804,0.8911890742847053,0.9151613710728058,True,False,-0.17534992578126027,0.17823157333006379
hsa-miR-196a-5p + hsa-miR-449a,1.003594464046756,0.005176417794438753,0.00510265904029738,False,False,-0.001155047621889671,0.10085021983020155
hsa-miR-10b-5p + hsa-miR-449a,0.9163013113389182,-0.12610601087258888,0.16334009662816906,False,False,0.029458074015089042,0.16291113601975224
hsa-miR-27b-3p + hsa-miR-429,1.1217829176337832,0.1657935191247858,0.30864217120484905,False,False,-0.023918863606850527,-0.09110766608791152
hsa-miR-107 + hsa-miR-363-3p,0.6254928428024209,-0.6769347184299673,0.5882701772262855,False,False,0.2276454909424443,-0.005096359896013869
hsa-miR-204-5p + hsa-miR-211-5p,1.2191594379135462,0.28588680950683293,1.0072585301405388,True,False,-0.01793929864020613,-0.2716318326271939
hsa-miR-19b-3p + hsa-miR-211-5p,1.8649489076323689,0.8991361067726883,2.210018731183665,False,False,-0.04628383141795857,-0.47733950198402986
hsa-miR-204-5p + hsa-miR-27b-3p,1.6983408980067114,0.7641260716713834,0.9801952733418637,False,False,-0.04838069332961416,-0.3156551815318537
hsa-miR-200b-3p + hsa-miR-93-5p,0.8780636833893188,-0.1876025168828353,0.9389234274717398,False,False,0.03851135265847633,-0.04228070868847425
hsa-miR-18a-5p + hsa-miR-92a-3p,2.375747486905514,1.2483815033319499,1.6872180878833667,False,False,-0.2124180813534818,-0.31942096422347066
hsa-miR-17-5p + hsa-miR-363-3p,1.9712641874517434,0.9791211383221226,1.053239895028668,False,False,-0.07490700826328171,-0.2708462771735559
hsa-miR-17-5p + hsa-miR-20b-5p,1.4140364144290818,0.4998192730750379,0.6404417665063147,True,False,-0.057187092429650394,-0.3251734358288074
hsa-miR-124-3p + hsa-miR-506-3p,1.6247482606072032,0.7002162034899956,0.7701387503280233,True,False,-0.4295050629366496,0.20490771421211618
hsa-miR-27b-3p + hsa-miR-449b-5p,0.510782438178005,-0.9692191720179393,2.013675035271833,False,True,0.11269264202144862,0.1885718208958664
hsa-miR-137 + hsa-miR-449a,0.338816812900639,-1.5614226284623887,1.2812891369502968,False,False,0.6293335025022184,0.13059475713227406
hsa-miR-10a-5p + hsa-miR-449a,1.6765142465595235,0.7454647428116528,1.1336357192722115,False,False,-0.13013487575376753,0.16722719131006739
hsa-miR-27a-3p + hsa-miR-429,0.9204773359515338,-0.11954589499915823,0.2503625872845784,False,False,0.0190344709813417,-0.025849070028227256
hsa-miR-106b-5p + hsa-miR-363-3p,1.7488707538532249,0.8064236742424807,0.9064462313136761,False,False,-0.06509971140452898,-0.32241732209536533
hsa-miR-200b-3p + hsa-miR-211-5p,1.1956985746081257,0.25785374427990226,0.8543554239846078,False,False,-0.04538869194643286,-0.056210236476406134
hsa-miR-19a-3p + hsa-miR-211-5p,1.2951178197985094,0.3730833491142617,0.6366127467882347,False,False,-0.02274007756692148,-0.2229487583430362
hsa-miR-204-5p + hsa-miR-27a-3p,1.4148660381766271,0.5006654628046259,1.2004047407565657,False,False,-0.031046489038091096,-0.32970643529676713
hsa-miR-200b-3p + hsa-miR-92a-3p,1.8963062661727685,0.9231919879734937,2.5767074754332198,False,False,-0.13107795845305323,-0.12664146468316137
hsa-miR-18a-5p + hsa-miR-34b-5p,1.1007894191058818,0.13853850789534786,0.15219355085071198,False,False,-0.0495711403401452,0.16207294718541582
hsa-miR-17-5p + hsa-miR-211-5p,0.9259753123005952,-0.11095436500475926,0.30785819469082026,False,False,0.00797779665986223,-0.1895154881765296
hsa-miR-17-5p + hsa-miR-20a-5p,0.8395109532056835,-0.25237894657742777,0.35843132470272115,True,False,0.017894479781613862,-0.28526111665139553
hsa-miR-107 + hsa-miR-506-3p,1.2498031096546847,0.321700834808938,0.3918782886121259,False,False,-0.2232572402932531,0.2049237472621974
hsa-miR-449a + hsa-miR-449b-5p,2.4568507089286507,1.2968101946833892,1.5424678294413647,True,False,-0.1912318760711789,0.18651927217067393
hsa-miR-27a-3p + hsa-miR-449b-5p,0.3658975968971204,-1.450488154356555,2.0707004840757652,False,True,0.18349311530958362,0.18987195025043946
hsa-miR-124-3p + hsa-miR-449a,0.9376297137981938,-0.09290980491597794,0.15453017534355962,False,False,0.05299967620763346,0.1911785013052721
hsa-miR-25-3p + hsa-miR-429,1.2569809031962027,0.32996273164114254,0.768097039189813,False,False,-0.060584221997826176,0.020355385264475834
hsa-miR-103a-3p + hsa-miR-363-3p,1.1127158562629023,0.15408523230585244,0.4364333299066025,False,False,-0.03027989700301781,-0.19808085323146393
hsa-miR-200a-3p + hsa-miR-211-5p,0.9492182665739622,-0.07518823114216303,0.12390869399447788,False,False,0.010068296725965292,-0.12893001543352464
hsa-miR-18b-5p + hsa-miR-211-5p,2.2079808221771495,1.1427276413778222,1.7441470203321632,False,False,-0.18135382502061725,-0.2631187436860919
hsa-miR-204-5p + hsa-miR-25-3p,1.5909724299278287,0.6699088353226187,1.600136151563803,False,False,-0.11007582029259386,-0.214005235983569
hsa-miR-200b-3p + hsa-miR-34b-5p,3.765943103845201,1.9130112037704006,1.2563224262599257,False,False,-0.3976378361212826,0.1850901384780738
hsa-miR-18a-5p + hsa-miR-34a-5p,1.0216413237769022,0.030888786067793148,0.035101837859098546,False,False,-0.00806027370556861,0.06476408192996025
hsa-miR-17-5p + hsa-miR-204-5p,1.0409410442369362,0.05788836105270645,0.22597540866333857,False,False,-0.0032104746191192607,-0.41733799070427957
hsa-miR-17-5p + hsa-miR-19b-3p,1.0076660686935957,0.011017622115082469,0.005092433120021528,False,False,-0.0006355112880409158,-0.44162809401773906
hsa-miR-106b-5p + hsa-miR-506-3p,0.9487636680780119,-0.07587933045798971,0.09181422896499518,False,False,0.06032110624936915,0.03224222970792098
hsa-miR-429 + hsa-miR-449b-5p,2.099843088211534,1.0702815258357365,1.5274134932734489,False,False,-0.11540028382737086,0.20062999040249715
hsa-miR-25-3p + hsa-miR-449b-5p,1.9378910101512974,0.9544874337376031,1.259445380142943,False,False,-0.1434202214524073,0.15570237262934614
hsa-miR-107 + hsa-miR-449a,2.2677498736207675,1.1812615238838085,0.5494688514375248,False,False,-0.21254931014669984,0.1740306061080225
hsa-miR-363-3p + hsa-miR-429,1.1323321413550378,0.17929719880704306,0.33826697589146903,False,False,-0.025748651861298988,0.0036740156492224008
hsa-miR-20b-5p + hsa-miR-429,0.6598960062850429,-0.5996894083526667,0.8951937252546711,False,False,0.11355315932951873,-0.1490846206406918
hsa-miR-363-3p + hsa-miR-93-5p,2.069077325636083,1.0489875626590741,1.0399070937165245,False,False,-0.07855291493762971,-0.37684566765101934
hsa-miR-196a-5p + hsa-miR-211-5p,1.8496197564648715,0.8872287129867354,0.8634649288194941,False,False,-0.1026904133486561,-0.10195325741543462
hsa-miR-10b-5p + hsa-miR-211-5p,1.4074276891490287,0.4930608013918318,1.5948707634488979,False,False,-0.028888848852838406,-0.21939316616721924
hsa-miR-204-5p + hsa-miR-20b-5p,1.8136180608618342,0.858870663298781,0.9328511140156382,False,False,-0.08761829936256128,-0.35870420687935056
hsa-miR-200b-3p + hsa-miR-34a-5p,1.608278571944158,0.6855173191748297,0.8207822042481913,False,False,-0.14391486683244106,0.10050531904877942
hsa-miR-18a-5p + hsa-miR-27b-3p,1.202393076756413,0.2659086075156636,0.3419015075476157,False,False,-0.06174506010996428,-0.1267399958906987
hsa-miR-17-5p + hsa-miR-200b-3p,1.123036541213755,0.16740487072177357,0.6718577437077585,False,False,-0.030382390573148926,0.07711820974977435
hsa-miR-17-5p + hsa-miR-19a-3p,1.5235109982221706,0.6073999148739633,1.3660245686336372,False,False,-0.028048954291170818,-0.5391126158874512
hsa-miR-103a-3p + hsa-miR-506-3p,0.809777435890223,-0.30440265140721356,0.4719527944074854,False,False,0.26238902933083175,0.18856672962796092
hsa-miR-363-3p + hsa-miR-449b-5p,0.9948819060010928,-0.007402809168750883,0.004757982029521427,False,False,0.0007821078300032647,0.16882906201808912
hsa-miR-20b-5p + hsa-miR-449b-5p,0.4743372909250564,-1.076014801806584,2.005973503562504,False,True,0.2164412188633318,0.09889321541388289
hsa-miR-106b-5p + hsa-miR-449a,1.6884846443232915,0.7557290590259507,1.1427158263389479,False,False,-0.13149860521065007,-0.15743733769573268
hsa-miR-211-5p + hsa-miR-429,1.2488050652335347,0.3205482941040532,0.6015100507505857,False,False,-0.04389626369955904,-0.13253584453044018
hsa-miR-20a-5p + hsa-miR-429,0.7211436229311577,-0.47164147972668663,0.8970217503258917,False,False,0.08519650976036855,-0.28651058146237796
hsa-miR-363-3p + hsa-miR-92a-3p,2.5683177569526583,1.3608237063620716,1.1730565388472125,True,False,-0.09283574214566509,-0.36289572144130344
hsa-miR-137 + hsa-miR-211-5p,0.39204710943326954,-1.350901072020878,1.682083798128139,False,False,0.3936002188426496,-0.04347377689031426
hsa-miR-10a-5p + hsa-miR-211-5p,1.515662670526396,0.5999486996098002,1.73715278866675,False,False,-0.033952278594783974,-0.2961107884046075
