combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-124-3p + hsa-miR-143-5p,0.725,0.524,0.232,0.150,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-92a-3p,0.214,0.543,0.001,-0.005,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-143-5p,0.138,0.548,0.135,-0.016,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-17-5p,0.131,0.559,0.154,-0.016,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-27a-3p,0.199,0.560,0.086,0.129,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-137,0.199,0.561,0.079,0.166,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-34a-5p,0.297,0.562,0.221,0.129,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-34b-5p,0.402,0.574,0.090,0.108,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-340-5p,0.128,0.577,0.089,0.081,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-25-3p,0.210,0.585,0.067,0.086,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-20a-5p,0.066,0.586,0.280,-0.244,TRUE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-20b-5p,0.175,0.588,0.011,-0.002,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-137,0.207,0.591,0.195,0.158,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-2110,0.087,0.598,0.192,0.168,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-137,0.252,0.602,0.239,0.148,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-19a-3p,0.166,0.605,0.108,0.112,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-17-5p,0.519,0.606,0.064,0.118,FALSE,FALSE,FALSE
