label,mirA_ids,mirB_ids,module,module_display,category,module_genes_in_universe,mirA_targets_total,mirB_targets_total,union_targets_total,mirA_module_targets,mirB_module_targets,union_module_targets,overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity_index
synergy,hsa-miR-137,hsa-miR-128-3p,Neurite outgrowth & projection morphogenesis,Neurite outgrowth (on-target),on_target,510,1314,1225,2292,76,74,134,16,0.14901960784313725,0.1450980392156863,0.2627450980392157,0.11372549019607844,0.8805970149253731
synergy,hsa-miR-137,hsa-miR-128-3p,Synapse formation & neuronal maturation,Synapse/maturation (on-target),on_target,426,1314,1225,2292,61,62,108,15,0.1431924882629108,0.14553990610328638,0.2535211267605634,0.107981220657277,0.8611111111111112
synergy,hsa-miR-137,hsa-miR-128-3p,Translation / ribosome (housekeeping),Translation/ribosome (housekeeping),control,223,1314,1225,2292,22,18,36,4,0.09865470852017937,0.08071748878923767,0.16143497757847533,0.06278026905829596,0.8888888888888888
synergy,hsa-miR-137,hsa-miR-128-3p,RNA processing / splicing (housekeeping),RNA processing/splicing (housekeeping),control,191,1314,1225,2292,12,11,23,0,0.06282722513089005,0.05759162303664921,0.12041884816753927,0.05759162303664922,1.0
synergy,hsa-miR-137,hsa-miR-128-3p,UPR / ER stress (liability),UPR/ER stress (control),control,89,1314,1225,2292,9,7,14,2,0.10112359550561797,0.07865168539325842,0.15730337078651685,0.056179775280898875,0.8571428571428572
synergy,hsa-miR-137,hsa-miR-128-3p,Apoptosis / p53 / DNA repair (liability),Apoptosis/DNA repair (control),control,363,1314,1225,2292,22,33,51,4,0.06060606060606061,0.09090909090909091,0.14049586776859505,0.049586776859504134,0.9215686274509804
synergy,hsa-miR-137,hsa-miR-128-3p,EMT (alternate morphology),EMT (control),control,175,1314,1225,2292,15,18,31,2,0.08571428571428572,0.10285714285714286,0.17714285714285713,0.07428571428571427,0.935483870967742
synergy,hsa-miR-137,hsa-miR-128-3p,Trafficking / cytoskeleton (non-specific morphology),Trafficking/cytoskeleton (control),control,971,1314,1225,2292,89,91,167,13,0.09165808444902163,0.0937178166838311,0.17198764160659114,0.07826982492276004,0.9221556886227544
